entrada,pessoas,umidade,resposta
273,7,57.0,47.02667367069399
274,7,57.0,47.02667367069399
275,7,57.0,47.02667367069399
276,7,57.0,47.02667367069399
277,7,57.0,47.02667367069399
278,7,57.0,47.02667367069399
279,7,57.0,47.02667367069399
280,7,57.0,47.02667367069399
281,7,57.0,47.02667367069399
282,7,57.0,47.02667367069399
283,7,57.0,47.02667367069399
284,7,57.0,47.02667367069399
285,7,57.0,47.02667367069399
286,7,57.0,47.02667367069399
287,7,57.0,47.02667367069399
288,7,57.0,47.02667367069399
289,7,57.0,47.02667367069399
290,7,56.0,46.977453423519634
291,7,56.0,46.977453423519634
292,7,56.0,46.977453423519634
293,7,56.0,46.977453423519634
294,7,56.0,46.977453423519634
295,7,56.0,46.977453423519634
296,7,56.0,46.977453423519634
297,7,56.0,46.977453423519634
298,7,56.0,46.977453423519634
299,7,56.0,46.977453423519634
300,7,56.0,46.977453423519634
301,7,56.0,46.977453423519634
302,7,56.0,46.977453423519634
303,7,56.0,46.977453423519634
304,7,56.0,46.977453423519634
305,7,56.0,46.977453423519634
306,7,56.0,46.977453423519634
307,7,56.0,46.977453423519634
308,7,56.0,46.977453423519634
309,7,56.0,46.977453423519634
310,7,56.0,46.977453423519634
311,7,56.0,46.977453423519634
312,7,56.0,46.977453423519634
313,8,56.0,44.161599651302176
314,8,56.0,44.161599651302176
315,8,56.0,44.161599651302176
316,8,56.0,44.161599651302176
317,8,56.0,44.161599651302176
318,8,56.0,44.161599651302176
319,8,56.0,44.161599651302176
320,8,56.0,44.161599651302176
321,8,56.0,44.161599651302176
322,8,56.0,44.161599651302176
323,8,56.0,44.161599651302176
324,8,56.0,44.161599651302176
325,8,56.0,44.161599651302176
326,8,56.0,44.161599651302176
327,8,56.0,44.161599651302176
328,8,56.0,44.161599651302176
329,8,56.0,44.161599651302176
330,8,56.0,44.161599651302176
331,8,56.0,44.161599651302176
332,8,56.0,44.161599651302176
333,8,56.0,44.161599651302176
334,8,56.0,44.161599651302176
335,8,56.0,44.161599651302176
336,8,56.0,44.161599651302176
337,8,56.0,44.161599651302176
338,8,56.0,44.161599651302176
339,8,56.0,44.161599651302176
340,8,56.0,44.161599651302176
341,8,56.0,44.161599651302176
342,8,56.0,44.161599651302176
343,8,57.0,44.24902055492944
344,8,57.0,44.24902055492944
345,8,57.0,44.24902055492944
346,8,57.0,44.24902055492944
347,8,57.0,44.24902055492944
348,8,57.0,44.24902055492944
349,8,57.0,44.24902055492944
350,8,57.0,44.24902055492944
351,8,57.0,44.24902055492944
352,8,57.0,44.24902055492944
353,8,56.0,44.161599651302176
354,8,56.0,44.161599651302176
355,8,56.0,44.161599651302176
356,8,56.0,44.161599651302176
357,8,56.0,44.161599651302176
358,8,56.0,44.161599651302176
359,7,56.0,46.977453423519634
360,7,56.0,46.977453423519634
361,7,56.0,46.977453423519634
362,7,56.0,46.977453423519634
363,7,56.0,46.977453423519634
364,7,56.0,46.977453423519634
365,7,56.0,46.977453423519634
366,7,56.0,46.977453423519634
367,7,56.0,46.977453423519634
368,7,56.0,46.977453423519634
369,7,56.0,46.977453423519634
370,7,56.0,46.977453423519634
371,7,56.0,46.977453423519634
372,7,56.0,46.977453423519634
373,7,56.0,46.977453423519634
374,7,56.0,46.977453423519634
375,7,56.0,46.977453423519634
376,7,56.0,46.977453423519634
